day,location,Bad-Weather_today
4,lebl,0
4,lirf,0
4,omdb,0
4,eham,0
4,ukbb,0
4,ltfm,0
4,eddm,0
4,haab,0
4,lszh,0
4,epwa,0
4,egll,0
4,lfpg,0
4,lkpr,0
4,gmmx,0
4,gmmn,0
4,zspd,0
4,vhhh,0
4,ugtb,0
4,lcph,0
4,lrop,0
4,ltfj,0
4,ltba,0
4,ller,0
4,kewr,0
4,lgts,0
4,epkk,0
4,lhbp,0
4,loww,0
4,cyyz,0
4,heca,0
4,lime,0
4,ltai,0
4,ubbb,0
4,limc,0
4,lbsf,0
4,omaa,0
4,eblg,0
4,lsgg,0
4,eddb,0
4,lfsb,0
4,lgav,0
4,lfpo,0
4,liph,0
4,ugsb,0
4,edsb,0
4,umms,1
4,lhdc,0
4,kord,0
4,lemd,0
4,ebbr,0
4,katl,0
4,eddf,0
4,uudd,1
4,lukk,0
4,lfll,0
4,limf,0
4,kjfk,0
4,uuee,1
4,eyvi,0
4,eggw,0
4,epmo,0
4,libd,0
4,egkk,0
4,urkk,0
4,eppo,0
4,lclk,0
4,lppt,0
4,udyz,0
4,ukoo,0
4,lbwn,0
4,vtsp,0
4,kmia,0
4,eddp,0
4,obbi,0
4,lirn,0
4,ebci,0
4,klax,0
4,ksfo,0
4,egcc,0
4,fsia,0
4,ukhh,0
4,ulli,1
4,engm,0
4,evra,0
4,uttt,0
4,lfml,0
4,lfmn,0
4,vidp,0
4,ukdd,0
4,kteb,0
4,eddk,0
4,vabb,0
4,vtbs,0
4,lipe,0
4,lmml,0
4,lfls,0
4,ltbj,0
4,efkt,0
4,ojai,0
4,egss,0
4,uaaa,0
4,,0
4,zggg,0
4,uuww,1
4,egkb,0
4,lrcl,0
4,lria,0
4,urrp,0
4,omdw,0
4,ukde,1
4,llbg,0
5,lebl,0
5,lirf,0
5,omdb,0
5,eham,0
5,ukbb,0
5,ltfm,0
5,eddm,0
5,haab,0
5,lszh,0
5,epwa,0
5,egll,0
5,lfpg,0
5,lkpr,0
5,gmmx,0
5,gmmn,0
5,zspd,0
5,vhhh,0
5,ugtb,0
5,lcph,0
5,lrop,0
5,ltfj,0
5,ltba,0
5,ller,0
5,kewr,0
5,lgts,0
5,epkk,0
5,lhbp,0
5,loww,0
5,cyyz,0
5,heca,0
5,lime,0
5,ltai,0
5,ubbb,0
5,limc,0
5,lbsf,0
5,omaa,0
5,eblg,0
5,lsgg,1
5,eddb,0
5,lfsb,0
5,lgav,0
5,lfpo,0
5,liph,0
5,ugsb,0
5,edsb,0
5,umms,1
5,lhdc,0
5,kord,0
5,lemd,0
5,ebbr,0
5,katl,0
5,eddf,0
5,uudd,1
5,lukk,0
5,lfll,0
5,limf,0
5,kjfk,0
5,uuee,1
5,eyvi,1
5,eggw,0
5,epmo,0
5,libd,0
5,egkk,0
5,urkk,0
5,eppo,0
5,lclk,0
5,lppt,0
5,udyz,0
5,ukoo,0
5,lbwn,0
5,vtsp,0
5,kmia,0
5,eddp,0
5,obbi,0
5,lirn,0
5,ebci,0
5,klax,0
5,ksfo,0
5,egcc,0
5,fsia,0
5,ukhh,0
5,ulli,0
5,engm,0
5,evra,0
5,uttt,0
5,lfml,0
5,lfmn,0
5,vidp,0
5,ukdd,0
5,kteb,0
5,eddk,0
5,vabb,0
5,vtbs,0
5,lipe,0
5,lmml,0
5,lfls,0
5,ltbj,0
5,efkt,1
5,ojai,0
5,egss,0
5,uaaa,0
5,,0
5,zggg,0
5,uuww,1
5,egkb,0
5,lrcl,0
5,lria,0
5,urrp,0
5,omdw,0
5,ukde,0
5,llbg,0
6,lebl,0
6,lirf,0
6,omdb,0
6,eham,0
6,ukbb,1
6,ltfm,0
6,eddm,0
6,haab,0
6,lszh,0
6,epwa,0
6,egll,0
6,lfpg,0
6,lkpr,0
6,gmmx,0
6,gmmn,0
6,zspd,0
6,vhhh,0
6,ugtb,0
6,lcph,0
6,lrop,0
6,ltfj,0
6,ltba,0
6,ller,0
6,kewr,0
6,lgts,0
6,epkk,0
6,lhbp,0
6,loww,0
6,cyyz,1
6,heca,0
6,lime,0
6,ltai,0
6,ubbb,0
6,limc,0
6,lbsf,0
6,omaa,0
6,eblg,0
6,lsgg,0
6,eddb,0
6,lfsb,0
6,lgav,0
6,lfpo,0
6,liph,0
6,ugsb,0
6,edsb,0
6,umms,1
6,lhdc,0
6,kord,0
6,lemd,0
6,ebbr,0
6,katl,0
6,eddf,0
6,uudd,0
6,lukk,0
6,lfll,0
6,limf,0
6,kjfk,0
6,uuee,1
6,eyvi,0
6,eggw,0
6,epmo,0
6,libd,0
6,egkk,0
6,urkk,0
6,eppo,0
6,lclk,0
6,lppt,0
6,udyz,0
6,ukoo,0
6,lbwn,0
6,vtsp,0
6,kmia,0
6,eddp,0
6,obbi,0
6,lirn,0
6,ebci,0
6,klax,0
6,ksfo,0
6,egcc,0
6,fsia,0
6,ukhh,0
6,ulli,0
6,engm,1
6,evra,0
6,uttt,0
6,lfml,0
6,lfmn,0
6,vidp,0
6,ukdd,0
6,kteb,0
6,eddk,0
6,vabb,0
6,vtbs,0
6,lipe,0
6,lmml,0
6,lfls,0
6,ltbj,0
6,efkt,1
6,ojai,0
6,egss,0
6,uaaa,0
6,,0
6,zggg,0
6,uuww,0
6,egkb,0
6,lrcl,0
6,lria,0
6,urrp,0
6,omdw,0
6,ukde,0
6,llbg,0
7,lebl,0
7,lirf,0
7,omdb,0
7,eham,0
7,ukbb,0
7,ltfm,0
7,eddm,0
7,haab,0
7,lszh,0
7,epwa,0
7,egll,0
7,lfpg,0
7,lkpr,0
7,gmmx,0
7,gmmn,0
7,zspd,0
7,vhhh,0
7,ugtb,0
7,lcph,0
7,lrop,0
7,ltfj,0
7,ltba,0
7,ller,0
7,kewr,0
7,lgts,0
7,epkk,0
7,lhbp,0
7,loww,0
7,cyyz,1
7,heca,0
7,lime,0
7,ltai,0
7,ubbb,0
7,limc,0
7,lbsf,0
7,omaa,0
7,eblg,0
7,lsgg,0
7,eddb,0
7,lfsb,0
7,lgav,0
7,lfpo,0
7,liph,0
7,ugsb,0
7,edsb,0
7,umms,0
7,lhdc,0
7,kord,0
7,lemd,0
7,ebbr,0
7,katl,0
7,eddf,0
7,uudd,1
7,lukk,0
7,lfll,0
7,limf,0
7,kjfk,0
7,uuee,1
7,eyvi,0
7,eggw,0
7,epmo,0
7,libd,0
7,egkk,0
7,urkk,0
7,eppo,0
7,lclk,0
7,lppt,0
7,udyz,0
7,ukoo,0
7,lbwn,0
7,vtsp,0
7,kmia,0
7,eddp,0
7,obbi,0
7,lirn,0
7,ebci,0
7,klax,0
7,ksfo,0
7,egcc,0
7,fsia,0
7,ukhh,0
7,ulli,0
7,engm,0
7,evra,0
7,uttt,0
7,lfml,0
7,lfmn,0
7,vidp,0
7,ukdd,0
7,kteb,0
7,eddk,0
7,vabb,0
7,vtbs,0
7,lipe,0
7,lmml,0
7,lfls,0
7,ltbj,0
7,efkt,1
7,ojai,0
7,egss,0
7,uaaa,0
7,,0
7,zggg,0
7,uuww,1
7,egkb,0
7,lrcl,0
7,lria,0
7,urrp,0
7,omdw,0
7,ukde,0
7,llbg,0
8,lebl,0
8,lirf,0
8,omdb,0
8,eham,0
8,ukbb,0
8,ltfm,0
8,eddm,0
8,haab,0
8,lszh,0
8,epwa,0
8,egll,0
8,lfpg,0
8,lkpr,0
8,gmmx,0
8,gmmn,0
8,zspd,0
8,vhhh,0
8,ugtb,0
8,lcph,0
8,lrop,0
8,ltfj,0
8,ltba,0
8,ller,0
8,kewr,0
8,lgts,0
8,epkk,0
8,lhbp,0
8,loww,0
8,cyyz,0
8,heca,0
8,lime,0
8,ltai,0
8,ubbb,0
8,limc,0
8,lbsf,0
8,omaa,0
8,eblg,0
8,lsgg,0
8,eddb,0
8,lfsb,0
8,lgav,0
8,lfpo,0
8,liph,0
8,ugsb,0
8,edsb,0
8,umms,0
8,lhdc,0
8,kord,0
8,lemd,0
8,ebbr,0
8,katl,0
8,eddf,0
