type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.gate,departure.delay,departure.scheduledTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.gate,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.terminal,arrival.baggage,departure.estimatedTime,arrival.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway
departure,active,tlv,llbg,3,d7,16,2021-12-05t05:15:00.000,2021-12-05t05:30:00.000,2021-12-05t05:30:00.000,2021-12-05t05:30:00.000,ams,eham,e04,2021-12-05t09:20:00.000,2021-12-05t08:55:00.000,air france,af,afr,8424,af8424,afr8424,klm,kl,klm,462,kl462,klm462,,,,,,,
departure,active,tlv,llbg,3,d7,16,2021-12-05t05:15:00.000,2021-12-05t05:30:00.000,2021-12-05t05:30:00.000,2021-12-05t05:30:00.000,ams,eham,e04,2021-12-05t09:20:00.000,2021-12-05t08:55:00.000,delta air lines,dl,dal,9690,dl9690,dal9690,klm,kl,klm,462,kl462,klm462,,,,,,,
departure,active,tlv,llbg,3,d7,16,2021-12-05t05:15:00.000,2021-12-05t05:30:00.000,2021-12-05t05:30:00.000,2021-12-05t05:30:00.000,ams,eham,e04,2021-12-05t09:20:00.000,2021-12-05t08:55:00.000,kenya airways,kq,kqa,1462,kq1462,kqa1462,klm,kl,klm,462,kl462,klm462,,,,,,,
departure,active,tlv,llbg,3,d7,16,2021-12-05t05:15:00.000,2021-12-05t05:30:00.000,2021-12-05t05:30:00.000,2021-12-05t05:30:00.000,ams,eham,e04,2021-12-05t09:20:00.000,2021-12-05t08:55:00.000,klm,kl,klm,462,kl462,klm462,,,,,,,,,,,,,
departure,active,tlv,llbg,3,,14,2021-12-05t05:20:00.000,2021-12-05t05:34:00.000,2021-12-05t05:34:00.000,2021-12-05t05:34:00.000,ath,lgav,,2021-12-05t07:30:00.000,2021-12-05t07:24:00.000,bulgaria air,fb,lzb,1529,fb1529,lzb1529,aegean airlines,a3,aee,929,a3929,aee929,,,,,,,
departure,active,tlv,llbg,3,,14,2021-12-05t05:20:00.000,2021-12-05t05:34:00.000,2021-12-05t05:34:00.000,2021-12-05t05:34:00.000,ath,lgav,,2021-12-05t07:30:00.000,2021-12-05t07:24:00.000,aegean airlines,a3,aee,929,a3929,aee929,,,,,,,,,,,,,
departure,active,tlv,llbg,3,b04,21,2021-12-05t05:20:00.000,2021-12-05t05:40:00.000,2021-12-05t05:40:00.000,2021-12-05t05:40:00.000,fra,eddf,c4a,2021-12-05t09:00:00.000,2021-12-05t08:47:00.000,air canada,ac,aca,9021,ac9021,aca9021,lufthansa,lh,dlh,691,lh691,dlh691,1,,,,,,
departure,active,tlv,llbg,3,b04,21,2021-12-05t05:20:00.000,2021-12-05t05:40:00.000,2021-12-05t05:40:00.000,2021-12-05t05:40:00.000,fra,eddf,c4a,2021-12-05t09:00:00.000,2021-12-05t08:47:00.000,ana,nh,ana,5460,nh5460,ana5460,lufthansa,lh,dlh,691,lh691,dlh691,1,,,,,,
departure,active,tlv,llbg,3,b04,21,2021-12-05t05:20:00.000,2021-12-05t05:40:00.000,2021-12-05t05:40:00.000,2021-12-05t05:40:00.000,fra,eddf,c4a,2021-12-05t09:00:00.000,2021-12-05t08:47:00.000,united airlines,ua,ual,9121,ua9121,ual9121,lufthansa,lh,dlh,691,lh691,dlh691,1,,,,,,
departure,active,tlv,llbg,3,b04,21,2021-12-05t05:20:00.000,2021-12-05t05:40:00.000,2021-12-05t05:40:00.000,2021-12-05t05:40:00.000,fra,eddf,c4a,2021-12-05t09:00:00.000,2021-12-05t08:47:00.000,lufthansa,lh,dlh,691,lh691,dlh691,,,,,,,1,,,,,,
departure,active,tlv,llbg,3,,16,2021-12-05t05:20:00.000,2021-12-05t05:36:00.000,2021-12-05t05:36:00.000,2021-12-05t05:36:00.000,waw,epwa,,2021-12-05t08:25:00.000,2021-12-05t08:06:00.000,lot - polish airlines,lo,lot,152,lo152,lot152,,,,,,,,2,,,,,
departure,active,tlv,llbg,3,,8,2021-12-05t05:30:00.000,2021-12-05t05:38:00.000,2021-12-05t05:38:00.000,2021-12-05t05:38:00.000,saw,ltfj,,2021-12-05t08:45:00.000,2021-12-05t08:20:00.000,pegasus,pc,pgt,786,pc786,pgt786,,,,,,,,,2021-12-05t05:30:00.000,,,,
