type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.delay,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.terminal,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.baggage,arrival.gate
arrival,landed,bru,ebbr,b10,20.0,2021-12-09t20:45:00.000,2021-12-09t21:04:00.000,2021-12-09t21:04:00.000,2021-12-09t21:04:00.000,2021-12-09t21:04:00.000,tlv,llbg,3,2.0,2021-12-10t02:05:00.000,2021-12-10t02:10:00.000,2021-12-10t02:06:00.000,2021-12-10t02:06:00.000,2021-12-10t02:06:00.000,el al,ly,ely,332,ly332,ely332,,,,,,,,,
arrival,scheduled,rak,gmmx,,,2021-12-09t19:20:00.000,,,,,tlv,llbg,3,,2021-12-10t02:05:00.000,,,,,israir airlines,6h,isr,62,6h62,isr62,,,,,,,,,
arrival,landed,tbs,ugtb,102,1.0,2021-12-10t01:20:00.000,2021-12-10t01:20:00.000,2021-12-10t01:20:00.000,2021-12-10t01:20:00.000,2021-12-10t01:20:00.000,tlv,llbg,3,,2021-12-10t02:05:00.000,2021-12-10t01:40:00.000,2021-12-10t01:42:00.000,2021-12-10t01:42:00.000,2021-12-10t01:42:00.000,israir airlines,6h,isr,892,6h892,isr892,,,,,,,,,
arrival,landed,ber,eddb,c21,14.0,2021-12-09t21:00:00.000,2021-12-09t21:00:00.000,2021-12-09t21:13:00.000,2021-12-09t21:13:00.000,2021-12-09t21:13:00.000,tlv,llbg,3,,2021-12-10t02:10:00.000,,2021-12-10t02:04:00.000,2021-12-10t02:04:00.000,2021-12-10t02:04:00.000,el al,ly,ely,2374,ly2374,ely2374,1,,,,,,,,
arrival,landed,ams,eham,e4,14.0,2021-12-09t20:55:00.000,2021-12-09t21:10:00.000,2021-12-09t21:09:00.000,2021-12-09t21:09:00.000,2021-12-09t21:09:00.000,tlv,llbg,3,,2021-12-10t02:20:00.000,2021-12-10t02:11:00.000,2021-12-10t02:12:00.000,2021-12-10t02:12:00.000,2021-12-10t02:12:00.000,air france,af,afr,8425,af8425,afr8425,2,klm,kl,klm,461,kl461,klm461,,
arrival,landed,ams,eham,e4,14.0,2021-12-09t20:55:00.000,2021-12-09t21:10:00.000,2021-12-09t21:09:00.000,2021-12-09t21:09:00.000,2021-12-09t21:09:00.000,tlv,llbg,3,,2021-12-10t02:20:00.000,2021-12-10t02:11:00.000,2021-12-10t02:12:00.000,2021-12-10t02:12:00.000,2021-12-10t02:12:00.000,delta air lines,dl,dal,9575,dl9575,dal9575,2,klm,kl,klm,461,kl461,klm461,,
arrival,landed,ams,eham,e4,14.0,2021-12-09t20:55:00.000,2021-12-09t21:10:00.000,2021-12-09t21:09:00.000,2021-12-09t21:09:00.000,2021-12-09t21:09:00.000,tlv,llbg,3,,2021-12-10t02:20:00.000,2021-12-10t02:11:00.000,2021-12-10t02:12:00.000,2021-12-10t02:12:00.000,2021-12-10t02:12:00.000,kenya airways,kq,kqa,1461,kq1461,kqa1461,2,klm,kl,klm,461,kl461,klm461,,
arrival,landed,ams,eham,e4,14.0,2021-12-09t20:55:00.000,2021-12-09t21:10:00.000,2021-12-09t21:09:00.000,2021-12-09t21:09:00.000,2021-12-09t21:09:00.000,tlv,llbg,3,,2021-12-10t02:20:00.000,2021-12-10t02:11:00.000,2021-12-10t02:12:00.000,2021-12-10t02:12:00.000,2021-12-10t02:12:00.000,klm,kl,klm,461,kl461,klm461,2,,,,,,,,
arrival,scheduled,kbp,ukbb,,,2021-12-09t23:20:00.000,,,,,tlv,llbg,3,,2021-12-10t02:35:00.000,,,,,el al,ly,ely,2654,ly2654,ely2654,d,,,,,,,,
arrival,landed,ist,ltfm,b7a,31.0,2021-12-10t01:35:00.000,2021-12-10t01:45:00.000,2021-12-10t02:06:00.000,2021-12-10t02:06:00.000,2021-12-10t02:06:00.000,tlv,llbg,3,10.0,2021-12-10t02:35:00.000,2021-12-10t02:49:00.000,2021-12-10t02:44:00.000,2021-12-10t02:44:00.000,2021-12-10t02:44:00.000,turkish airlines,tk,thy,810,tk810,thy810,,,,,,,,,
