,type,status,departure.icaoCode,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,codeshared.airline.icaoCode,arrival.delay,arrival.baggage,Bad_Weather_today,R,new_sick_per_day,avg_for_7_days,longitude,latitude,cancel
0,arrival,landed,lebl,11,2021-12-04t20:55:00.000,2021-12-04t20:55:00.000,2021-12-04t21:05:00.000,2021-12-04t21:05:00.000,2021-12-04t21:05:00.000,tlv,llbg,2021-12-05t02:05:00.000,2021-12-05t01:43:00.000,2021-12-05t01:43:00.000,2021-12-05t01:43:00.000,2021-12-05t01:43:00.000,iberia,ely,0,,0,1.02,248,507,2.0783,41.2969,1
1,arrival,landed,lebl,11,2021-12-04t20:55:00.000,2021-12-04t20:55:00.000,2021-12-04t21:05:00.000,2021-12-04t21:05:00.000,2021-12-04t21:05:00.000,tlv,llbg,2021-12-05t02:05:00.000,2021-12-05t01:43:00.000,2021-12-05t01:43:00.000,2021-12-05t01:43:00.000,2021-12-05t01:43:00.000,el al,,0,,0,1.02,248,507,2.0783,41.2969,1
2,arrival,scheduled,lirf,0,2021-12-04t21:50:00.000,,,,,tlv,llbg,2021-12-05t02:05:00.000,,,,,israir airlines,,0,,0,1.02,248,507,12.2389,41.8003,1
3,arrival,landed,omdb,14,2021-12-05t00:25:00.000,2021-12-05t00:40:00.000,2021-12-05t00:39:00.000,2021-12-05t00:39:00.000,2021-12-05t00:39:00.000,tlv,llbg,2021-12-05t02:10:00.000,2021-12-05t01:53:00.000,2021-12-05t01:56:00.000,2021-12-05t01:56:00.000,2021-12-05t01:56:00.000,el al,,0,,0,1.03,539,519,55.3644,25.2528,1
4,arrival,landed,eham,8,2021-12-04t20:55:00.000,2021-12-04t20:55:00.000,2021-12-04t21:02:00.000,2021-12-04t21:02:00.000,2021-12-04t21:02:00.000,tlv,llbg,2021-12-05t02:20:00.000,2021-12-05t02:06:00.000,2021-12-05t02:09:00.000,2021-12-05t02:09:00.000,2021-12-05t02:09:00.000,air france,klm,0,,0,1.02,248,507,4.7642,52.3081,1
5,arrival,landed,eham,8,2021-12-04t20:55:00.000,2021-12-04t20:55:00.000,2021-12-04t21:02:00.000,2021-12-04t21:02:00.000,2021-12-04t21:02:00.000,tlv,llbg,2021-12-05t02:20:00.000,2021-12-05t02:06:00.000,2021-12-05t02:09:00.000,2021-12-05t02:09:00.000,2021-12-05t02:09:00.000,delta air lines,klm,0,,0,1.02,248,507,4.7642,52.3081,1
6,arrival,landed,eham,8,2021-12-04t20:55:00.000,2021-12-04t20:55:00.000,2021-12-04t21:02:00.000,2021-12-04t21:02:00.000,2021-12-04t21:02:00.000,tlv,llbg,2021-12-05t02:20:00.000,2021-12-05t02:06:00.000,2021-12-05t02:09:00.000,2021-12-05t02:09:00.000,2021-12-05t02:09:00.000,kenya airways,klm,0,,0,1.02,248,507,4.7642,52.3081,1
7,arrival,landed,eham,8,2021-12-04t20:55:00.000,2021-12-04t20:55:00.000,2021-12-04t21:02:00.000,2021-12-04t21:02:00.000,2021-12-04t21:02:00.000,tlv,llbg,2021-12-05t02:20:00.000,2021-12-05t02:06:00.000,2021-12-05t02:09:00.000,2021-12-05t02:09:00.000,2021-12-05t02:09:00.000,klm,,0,,0,1.02,248,507,4.7642,52.3081,1
8,arrival,landed,ukbb,39,2021-12-04t23:10:00.000,2021-12-04t23:20:00.000,2021-12-04t23:48:00.000,2021-12-04t23:48:00.000,2021-12-04t23:48:00.000,tlv,llbg,2021-12-05t02:25:00.000,2021-12-05t02:38:00.000,2021-12-05t02:38:00.000,2021-12-05t02:38:00.000,2021-12-05t02:38:00.000,el al,,14,,0,1.02,248,507,30.8933,50.3447,1
9,arrival,landed,ltfm,12,2021-12-05t01:35:00.000,,2021-12-05t01:47:00.000,2021-12-05t01:47:00.000,2021-12-05t01:47:00.000,tlv,llbg,2021-12-05t02:35:00.000,2021-12-05t02:34:00.000,2021-12-05t02:33:00.000,2021-12-05t02:33:00.000,2021-12-05t02:33:00.000,turkish airlines,,0,,0,1.03,539,519,28.7519,41.2753,1
10,arrival,landed,eddm,40,2021-12-04t22:10:00.000,2021-12-04t22:30:00.000,2021-12-04t22:49:00.000,2021-12-04t22:49:00.000,2021-12-04t22:49:00.000,tlv,llbg,2021-12-05t02:50:00.000,2021-12-05t03:10:00.000,2021-12-05t03:09:00.000,2021-12-05t03:09:00.000,2021-12-05t03:09:00.000,brussels airlines,dlh,20,,0,1.02,248,507,11.7861,48.3538,1
11,arrival,landed,eddm,40,2021-12-04t22:10:00.000,2021-12-04t22:30:00.000,2021-12-04t22:49:00.000,2021-12-04t22:49:00.000,2021-12-04t22:49:00.000,tlv,llbg,2021-12-05t02:50:00.000,2021-12-05t03:10:00.000,2021-12-05t03:09:00.000,2021-12-05t03:09:00.000,2021-12-05t03:09:00.000,united airlines,dlh,20,,0,1.02,248,507,11.7861,48.3538,1
12,arrival,landed,eddm,40,2021-12-04t22:10:00.000,2021-12-04t22:30:00.000,2021-12-04t22:49:00.000,2021-12-04t22:49:00.000,2021-12-04t22:49:00.000,tlv,llbg,2021-12-05t02:50:00.000,2021-12-05t03:10:00.000,2021-12-05t03:09:00.000,2021-12-05t03:09:00.000,2021-12-05t03:09:00.000,lufthansa,,20,,0,1.02,248,507,11.7861,48.3538,1
13,arrival,landed,haab,16,2021-12-04t23:55:00.000,2021-12-04t23:55:00.000,2021-12-05t00:11:00.000,2021-12-05t00:11:00.000,2021-12-05t00:11:00.000,tlv,llbg,2021-12-05t03:00:00.000,2021-12-05t03:00:00.000,2021-12-05t03:03:00.000,2021-12-05t03:03:00.000,2021-12-05t03:03:00.000,el al,eth,3,,0,1.02,248,507,38.7994,8.975,1
14,arrival,landed,haab,16,2021-12-04t23:55:00.000,2021-12-04t23:55:00.000,2021-12-05t00:11:00.000,2021-12-05t00:11:00.000,2021-12-05t00:11:00.000,tlv,llbg,2021-12-05t03:00:00.000,2021-12-05t03:00:00.000,2021-12-05t03:03:00.000,2021-12-05t03:03:00.000,2021-12-05t03:03:00.000,ethiopian airlines,,3,,0,1.02,248,507,38.7994,8.975,1
15,arrival,landed,lszh,2,2021-12-04t22:45:00.000,2021-12-04t22:35:00.000,2021-12-04t22:46:00.000,2021-12-04t22:46:00.000,2021-12-04t22:46:00.000,tlv,llbg,2021-12-05t03:30:00.000,2021-12-05t03:18:00.000,2021-12-05t03:20:00.000,2021-12-05t03:20:00.000,2021-12-05t03:20:00.000,el al,swr,0,,0,1.02,248,507,8.5481,47.4581,1
16,arrival,landed,lszh,2,2021-12-04t22:45:00.000,2021-12-04t22:35:00.000,2021-12-04t22:46:00.000,2021-12-04t22:46:00.000,2021-12-04t22:46:00.000,tlv,llbg,2021-12-05t03:30:00.000,2021-12-05t03:18:00.000,2021-12-05t03:20:00.000,2021-12-05t03:20:00.000,2021-12-05t03:20:00.000,swiss,,0,,0,1.02,248,507,8.5481,47.4581,1
17,arrival,landed,epwa,35,2021-12-04t22:50:00.000,2021-12-04t22:50:00.000,2021-12-04t23:25:00.000,2021-12-04t23:25:00.000,2021-12-04t23:25:00.000,tlv,llbg,2021-12-05t03:35:00.000,2021-12-05t03:38:00.000,2021-12-05t03:37:00.000,2021-12-05t03:37:00.000,2021-12-05t03:37:00.000,lot - polish airlines,,2,,0,1.02,248,507,20.9672,52.1658,1
